EqpType,IPAddress,PORT
IMS,10.13.27.20,30011
OCV,10.13.27.20,30301
DCR,10.13.27.20,30401
MIC,10.13.27.20,30501
LKC,10.13.27.20,30601
VSI,10.13.27.20,30701
DGS,10.13.27.20,30801
NGS,10.13.27.20,30901
PAC,10.13.27.20,31101
HPC0110101,10.13.27.20,30201
HPC0110102,10.13.27.20,30202
CHG0110101,10.13.27.20,30101
CHG0110102,10.13.27.20,30102
CHG0110103,10.13.27.20,30103
CHG0110104,10.13.27.20,30104
CHG0110201,10.13.27.20,30105
CHG0110202,10.13.27.20,30106
CHG0110203,10.13.27.20,30107
CHG0110204,10.13.27.20,30108
CHG0110301,10.13.27.20,30109
CHG0110302,10.13.27.20,30110
CHG0110303,10.13.27.20,30111
