EqpType,IPAddress,PORT
IMS,210.91.148.176,30011
OCV,210.91.148.176,30301
DCR,210.91.148.176,30401
MIC,210.91.148.176,30501
LKC,210.91.148.176,30601
VSI,210.91.148.176,30701
DGS,210.91.148.176,30801
NGS,210.91.148.176,30901
PAC,210.91.148.176,31101
HPC0110101,210.91.148.176,30201
HPC0110102,210.91.148.176,30202
CHG0110101,210.91.148.176,30101
CHG0110102,210.91.148.176,30102
CHG0110103,210.91.148.176,30103
CHG0110104,210.91.148.176,30104
CHG0110201,210.91.148.176,30105
CHG0110202,210.91.148.176,30106
CHG0110203,210.91.148.176,30107
CHG0110204,210.91.148.176,30108
CHG0110301,210.91.148.176,30109
CHG0110302,210.91.148.176,30110
CHG0110303,210.91.148.176,30111
